label,botanical_name,common_name,family,parts_used,medicinal_property,side_effects
Aashaalim,Lepidium sativum,Aashaalim,Brassicaceae,"Leaf, seeds","Antidiabetic, antihypertensive, bronchoprotective, antipyretic, anti-inflammatory, laxative, hypocholesterolemic, antimicrobial, analgesic, anticoagulant, antidiarrheal, antispasmodic, anti-cancer, antiscorbutic, diuretic, antiasthmatic","Allergic reactions, gastrointestinal upset"
Acacia jacquemontii Benth,Acacia jacquemontiiÿBenth,Babul,MIMOSACEAE,"Bark,leaves","Babul, is used in traditional medicine for its antibacterial and anti-inflammatory properties","Allergic reactions,Gastrointestinal disturbances"
Akarkara,Anacylcus pyrethrum,Akarkara,Asteraceae ,root,"stimulating properties, often used to boost vitality and energy levels.","Skin Irritation,gastrointestinal upset, including nausea and vomiting."
Alethi,Zygophyllum simplexÿL,Alethiÿ,ZYGOPHYLLACEAE,"leaves, stems, and roots.","It contains compounds with antioxidant properties, potentially aiding in scavenging free radicals and reducing oxidative stress.",allergic reactions 
Aloevera,Aloe barbadensis miller,Aloe vera,Asphodelaceae,gel from the leaves of Aloe vera,"Skin Healing, Antibacterial and Antifungal ,Digestive Aid",skin irritation or allergic reactions in some people.
Amaranthus viridis,Amaranthus viridis,Slender Amaranth,Amaranthaceae,"leaves, stems, and seeds.","Cardiovascular Health ,Potential Anti-cancer Properties ,Antioxidant Activity ,Nutritional Value",gastrointestinal discomfort.
Amlanch,Ribes alpestreÿWall. ex Decne.,Amlanch,GROSSULARIACEAE,fruits ,"Rich in Vitamin C,Antioxidant Activity,Digestive Aid","diarrhea or abdominal cramps, due to its high vitamin C content."
Amlavetasa,Garcinia indica (Thouars) Chois,Amlavetasa,Guttiferae,gum resin,"Weight Management,by reducing appetite and inhibiting fat production.",abdominal cramps.
Amldandi,Polygonum polystachyumÿWall. ex Meissn.,Amldandi,POLYGONACEAE,leaves and stems.,promoting urine production and aiding in detoxification.,"Allergic reactions,Gastrointestinal disturbances"
Amlika Imli,Tamarindus indica L,Amlika ,Caesalpiniaceae,"pulp, leaves, seeds",Tamarind is commonly used to aid digestion. It contains natural enzymes and fiber that help regulate bowel movements and alleviate constipation.,"blood thinners,laxative effect, leading to diarrhea or loose stools."
Amlu,Oxyria digynaÿ(L.) Hill,Amlu,POLYGONACEAE,leaves and  roots,"It  is rich in vitamins (such as vitamin C) and minerals (such as calcium and iron), making it a nutritious addition to the diet",prone to kidney stones
